country,region_id,region_name,risk_zone,n_years,one_bad_year,lr_30yr_pct,lr_5yr_pct,lr_pricing_pct,lr_full_mean_pct,lr_std_max_pct,worst_year,premium_eur_ha
RO,RO-AB,Alba,Z3,13,0,0.66,,0.66,6.85,1.05,1998,0.64
RO,RO-AG,Argeș,Z2,13,0,0.78,,0.78,6.62,1.83,2005,0.75
RO,RO-AR,Arad,Z2,13,0,5.01,,5.01,10.79,33.83,2000,4.81
RO,RO-B,București,Z1,13,0,2.84,,2.84,9.16,14.84,1998,2.73
RO,RO-BC,Bacău,Z3,13,0,0.66,,0.66,7.27,1.05,1998,0.64
RO,RO-BH,Bihor,Z2,13,0,4.78,,4.78,10.98,30.58,2003,4.58
RO,RO-BN,Bistrița-Năsăud,Z3,13,0,0.66,,0.66,7.76,1.05,1998,0.64
RO,RO-BR,Brăila,Z1,13,0,8.56,,8.56,14.84,34.84,2003,8.22
RO,RO-BT,Botoșani,Z1,13,0,0.66,,0.66,6.55,1.05,1998,0.64
RO,RO-BV,Brașov,Z3,13,0,0.69,,0.69,7.69,1.47,2003,0.67
RO,RO-BZ,Buzău,Z1,13,0,0.66,,0.66,6.54,1.05,1998,0.64
RO,RO-CJ,Cluj,Z3,13,0,0.8,,0.8,8.15,2.85,2003,0.77
RO,RO-CL,Călărași,Z1,13,0,7.45,,7.45,12.99,33.04,2003,7.15
RO,RO-CS,Caraș-Severin,Z2,13,0,1.96,,1.96,7.77,11.91,2000,1.88
RO,RO-CT,Constanța,Z1,13,0,0.66,,0.66,5.66,1.05,1998,0.64
RO,RO-CV,Covasna,Z3,13,0,0.66,,0.66,7.59,1.05,1998,0.64
RO,RO-DB,Dâmbovița,Z2,13,0,1.39,,1.39,7.6,5.31,2000,1.33
RO,RO-DJ,Dolj,Z1,13,0,10.17,,10.17,16.41,35.36,2003,9.76
RO,RO-GJ,Gorj,Z2,13,0,4.95,,4.95,10.4,33.83,2003,4.75
RO,RO-GL,Galați,Z1,13,0,7.87,,7.87,14.17,35.36,2003,7.56
RO,RO-GR,Giurgiu,Z1,13,0,2.71,,2.71,8.24,14.84,1998,2.6
RO,RO-HD,Hunedoara,Z3,13,0,0.66,,0.66,7.22,1.05,1998,0.64
RO,RO-HR,Harghita,Z3,13,0,0.66,,0.66,8.09,1.05,1998,0.64
RO,RO-IF,Ilfov,Z1,13,0,2.4,,2.4,9.07,14.84,1998,2.31
RO,RO-IL,Ialomița,Z1,13,0,2.4,,2.4,7.88,14.84,1998,2.31
RO,RO-IS,Iași,Z1,13,0,2.2,,2.2,9.02,14.84,2001,2.11
RO,RO-MH,Mehedinți,Z2,13,0,1.57,,1.57,6.63,7.1,2003,1.51
RO,RO-MM,Maramureș,Z3,13,0,0.66,,0.66,7.97,1.05,1998,0.64
RO,RO-MS,Mureș,Z3,13,0,0.88,,0.88,8.68,3.92,2003,0.85
RO,RO-NT,Neamț,Z3,13,0,0.66,,0.66,8.0,1.05,1998,0.64
RO,RO-OT,Olt,Z1,13,0,1.12,,1.12,7.34,3.92,1998,1.07
RO,RO-PH,Prahova,Z2,13,0,1.71,,1.71,9.15,5.31,1998,1.64
RO,RO-SB,Sibiu,Z3,13,0,0.66,,0.66,7.63,1.05,1998,0.64
RO,RO-SJ,Sălaj,Z3,13,0,0.73,,0.73,8.08,1.47,2000,0.7
RO,RO-SM,Satu Mare,Z2,13,0,3.24,,3.24,10.22,17.95,2000,3.11
RO,RO-SV,Suceava,Z3,13,0,0.66,,0.66,8.5,1.05,1998,0.64
RO,RO-TL,Tulcea,Z1,13,0,7.22,,7.22,12.27,31.47,2005,6.93
RO,RO-TM,Timiș,Z2,13,0,0.66,,0.66,6.48,1.05,1998,0.64
RO,RO-TR,Teleorman,Z1,13,0,0.78,,0.78,6.62,1.83,2005,0.75
RO,RO-VL,Vâlcea,Z2,13,0,3.48,,3.48,9.72,34.84,2003,3.34
RO,RO-VN,Vrancea,Z1,13,0,0.78,,0.78,6.94,1.83,1996,0.75
RO,RO-VS,Vaslui,Z1,13,0,0.78,,0.78,6.65,1.83,1996,0.75
