country,region_id,region_name,risk_zone,n_years,one_bad_year,lr_30yr_pct,lr_5yr_pct,lr_pricing_pct,lr_full_mean_pct,lr_std_max_pct,worst_year,premium_eur_ha
RO,RO-AB,Alba,Z3,30,0,0.86,0.63,0.72,6.38,4.72,2012,0.69
RO,RO-AG,Argeș,Z2,30,0,1.91,2.73,2.4,7.27,13.66,2011,2.31
RO,RO-AR,Arad,Z2,30,0,6.88,3.22,4.69,12.23,35.81,2011,4.5
RO,RO-B,București,Z1,30,0,9.67,15.03,12.89,15.08,35.88,2019,12.37
RO,RO-BC,Bacău,Z3,30,0,2.71,0.64,1.47,8.27,25.62,2011,1.41
RO,RO-BH,Bihor,Z2,30,0,8.59,9.83,9.34,14.13,35.68,2012,8.96
RO,RO-BN,Bistrița-Năsăud,Z3,30,0,0.45,0.33,0.38,6.21,1.05,1999,0.36
RO,RO-BR,Brăila,Z1,30,0,17.85,24.84,22.05,23.4,35.89,2011,21.16
RO,RO-BT,Botoșani,Z1,30,0,0.45,0.33,0.38,5.69,1.05,1999,0.36
RO,RO-BV,Brașov,Z3,30,0,0.46,0.33,0.38,6.19,1.47,2003,0.37
RO,RO-BZ,Buzău,Z1,30,0,0.6,0.33,0.44,5.98,1.83,1998,0.42
RO,RO-CJ,Cluj,Z3,30,0,0.92,1.21,1.09,6.83,4.72,2024,1.05
RO,RO-CL,Călărași,Z1,30,0,19.77,30.3,26.09,25.01,35.89,2011,25.04
RO,RO-CS,Caraș-Severin,Z2,30,0,3.76,6.55,5.43,9.13,29.93,2024,5.21
RO,RO-CT,Constanța,Z1,30,0,0.45,0.33,0.38,5.45,1.05,1999,0.36
RO,RO-CV,Covasna,Z3,30,0,0.45,0.33,0.38,6.17,1.05,1999,0.36
RO,RO-DB,Dâmbovița,Z2,30,0,7.53,11.41,9.86,12.89,35.59,2019,9.46
RO,RO-DJ,Dolj,Z1,30,0,17.81,28.65,24.31,23.21,35.89,2011,23.34
RO,RO-GJ,Gorj,Z2,30,0,7.08,2.06,4.07,12.3,35.74,2012,3.91
RO,RO-GL,Galați,Z1,30,0,16.84,22.87,20.46,22.41,35.89,2011,19.64
RO,RO-GR,Giurgiu,Z1,30,0,11.9,18.63,15.94,17.14,35.87,2019,15.3
RO,RO-HD,Hunedoara,Z3,30,0,0.46,0.39,0.42,6.15,1.05,1999,0.4
RO,RO-HR,Harghita,Z3,30,0,0.45,0.33,0.38,6.39,1.05,1999,0.36
RO,RO-IF,Ilfov,Z1,30,0,6.39,12.65,10.15,11.96,35.87,2019,9.74
RO,RO-IL,Ialomița,Z1,30,0,8.71,12.23,10.82,13.92,35.87,2019,10.39
RO,RO-IS,Iași,Z1,30,0,6.23,9.04,7.92,12.28,35.46,2011,7.6
RO,RO-MH,Mehedinți,Z2,30,0,5.79,6.92,6.47,10.83,35.04,2012,6.21
RO,RO-MM,Maramureș,Z3,30,0,0.45,0.33,0.38,6.29,1.05,1999,0.36
