country,region_id,region_name,risk_zone,n_years,one_bad_year,lr_30yr_pct,lr_5yr_pct,lr_pricing_pct,lr_full_mean_pct,lr_std_max_pct,worst_year,premium_eur_ha,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha
PL,PL-DS,Lower Silesia,Z3,35,0,0.33,0.33,0.33,5.75,0.33,1990,0.32,0.32,0.42,0.16,0.15
PL,PL-KP,Kuyavian-Pomeranian,Z3,35,0,17.03,18.78,18.08,23.2,35.89,2005,17.36,17.36,22.57,9.04,8.68
PL,PL-LB,Lubusz,Z3,35,0,14.5,16.84,15.91,19.9,35.89,2018,15.27,15.27,19.85,7.96,7.64
PL,PL-LD,Łódź,Z1,35,0,14.75,14.14,14.39,20.46,35.89,2005,13.81,13.81,17.95,7.2,6.91
PL,PL-LU,Lublin,Z2,35,0,0.37,0.33,0.35,6.74,1.83,1992,0.33,0.34,0.44,0.18,0.17
PL,PL-MA,Lesser Poland,Z2,35,0,0.33,0.33,0.33,5.55,0.33,1990,0.32,0.32,0.42,0.16,0.15
PL,PL-MZ,Masovian,Z1,35,0,0.37,0.33,0.35,6.57,1.83,1992,0.33,0.34,0.44,0.18,0.17
PL,PL-OP,Opole,Z2,35,0,0.37,0.63,0.53,6.2,1.83,2024,0.51,0.51,0.66,0.26,0.25
PL,PL-PD,Podlaskie,Z1,35,0,0.37,0.33,0.35,5.74,1.81,2015,0.33,0.34,0.44,0.18,0.17
PL,PL-PK,Subcarpathian,Z2,35,0,1.02,0.63,0.78,6.74,22.87,2015,0.75,0.75,0.98,0.39,0.37
PL,PL-PM,Pomerania,Z3,35,0,8.05,4.35,5.83,13.59,35.86,2005,5.6,5.6,7.28,2.92,2.8
PL,PL-SK,Świętokrzyskie,Z2,35,0,9.44,4.61,6.54,15.66,35.04,2005,6.28,6.28,8.16,3.27,3.14
PL,PL-SL,Silesia,Z3,35,0,0.58,0.82,0.72,6.6,3.46,1992,0.7,0.69,0.9,0.36,0.35
PL,PL-WN,Warmia-Mazury,Z1,35,0,6.35,14.36,11.16,11.92,35.68,2024,10.71,10.71,13.92,5.58,5.36
PL,PL-WP,Greater Poland,Z3,35,0,0.36,0.52,0.46,6.05,1.29,2024,0.44,0.44,0.57,0.23,0.22
PL,PL-ZP,West Pomerania,Z3,35,0,0.38,0.39,0.39,5.92,1.81,2018,0.37,0.37,0.48,0.2,0.19
